# Format: X_1,Y_1,X_2,Y_2:U1,D1,L1,R1,U2,D2,L2,R2
# This file contains movement probabilities for both vehicles based on their positions
# X_1,Y_1: Car position, X_2,Y_2: Bus position
# U1,D1,L1,R1: Car Up,Down,Left,Right probabilities
# U2,D2,L2,R2: Bus Up,Down,Left,Right probabilities
2,1,1,0:0.67,0.33,0.00,0.00,0.09,0.45,0.00,0.45
2,1,1,1:0.00,0.43,0.29,0.29,0.17,0.83,0.00,0.00
2,1,1,2:0.67,0.33,0.00,0.00,0.09,0.45,0.45,0.00
2,1,2,0:0.40,0.33,0.00,0.27,0.25,0.13,0.00,0.62
2,1,2,1:0.67,0.33,0.00,0.00,0.67,0.33,0.00,0.00
2,1,2,2:0.40,0.33,0.27,0.00,0.25,0.13,0.62,0.00
2,2,0,0:0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00
2,2,0,1:0.50,0.00,0.50,0.00,0.44,0.11,0.00,0.44
2,2,0,2:0.36,0.00,0.36,0.29,0.67,0.17,0.17,0.00
2,2,1,0:0.50,0.00,0.50,0.00,0.00,0.44,0.44,0.11
2,2,1,1:0.50,0.00,0.50,0.00,0.00,0.50,0.00,0.50
2,2,1,2:0.00,0.30,0.40,0.30,0.00,0.80,0.20,0.00
2,2,2,0:0.36,0.29,0.36,0.00,0.17,0.00,0.67,0.17
2,2,2,1:0.40,0.30,0.00,0.30,0.20,0.00,0.00,0.80
2,2,2,2:0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00
